City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
674,Nanlong,CN,31.3533,106.0631,41.99,87,100,2.95,overcast clouds,2022-02-12 21:05:12
675,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.67,64,100,3.98,overcast clouds,2022-02-12 21:10:07
676,Megion,RU,61.0296,76.1136,-6.99,97,18,12.15,few clouds,2022-02-12 21:10:07
677,Huarmey,PE,-10.0681,-78.1522,75.38,72,33,10.02,scattered clouds,2022-02-12 21:05:48
678,Kantunilkin,MX,21.0917,-87.45,80.44,76,37,3.91,scattered clouds,2022-02-12 21:10:08
679,Suntar,RU,62.1444,117.6319,-26.91,100,99,2.73,overcast clouds,2022-02-12 21:10:08
680,Coatzintla,MX,20.4833,-97.45,82.98,54,40,6.91,scattered clouds,2022-02-12 21:10:08
681,Batemans Bay,AU,-35.7167,150.1833,65.1,90,55,3.04,broken clouds,2022-02-12 21:10:08
682,Imeni Karla Libknekhta,RU,51.6232,35.4775,25.32,97,37,6.69,scattered clouds,2022-02-12 21:10:09
683,Cockburn Town,TC,21.4612,-71.1419,77.76,76,0,19.91,clear sky,2022-02-12 21:09:11
684,Buritis,BR,-15.6178,-46.4233,73.85,90,87,3.53,overcast clouds,2022-02-12 21:10:09
685,Nuevo Imperial,PE,-13.0754,-76.3172,73.76,70,82,7.34,broken clouds,2022-02-12 21:10:10
686,Jaguaribe,BR,-5.8906,-38.6219,83.61,56,79,5.61,broken clouds,2022-02-12 21:10:10
687,San Andres,CO,12.5847,-81.7006,86.02,70,40,13.8,scattered clouds,2022-02-12 21:10:10
688,Banda Aceh,ID,5.5577,95.3222,77.34,85,26,11.36,scattered clouds,2022-02-12 21:10:11
689,Arrah,IN,25.5667,84.6667,51.46,65,0,4.97,clear sky,2022-02-12 21:10:11
690,Steamboat Springs,US,40.485,-106.8317,33.39,49,0,8.05,clear sky,2022-02-12 21:09:39
691,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,77.52,92,100,2.24,overcast clouds,2022-02-12 21:10:11
692,Golden,US,39.7555,-105.2211,45.72,48,75,8.05,broken clouds,2022-02-12 21:09:09
693,Dayong,CN,25.0209,118.2898,56.57,95,100,1.05,overcast clouds,2022-02-12 21:10:12
694,Conde,BR,-7.2597,-34.9075,81.86,78,40,9.22,scattered clouds,2022-02-12 21:10:12
695,Ornskoldsvik,SE,63.2909,18.7153,23.95,93,100,2.3,overcast clouds,2022-02-12 21:10:12
696,Shingu,JP,33.7333,135.9833,42.91,59,97,3.36,overcast clouds,2022-02-12 21:11:13
697,Winslow,US,35.0242,-110.6974,55.96,14,0,6.91,clear sky,2022-02-12 21:11:13
698,Maamba,ZM,-17.3667,27.15,68.68,84,64,2.93,broken clouds,2022-02-12 21:11:14
699,Mezen,RU,65.8522,44.24,10.65,96,96,6.98,overcast clouds,2022-02-12 21:11:14
700,Dhidhdhoo,MV,6.8833,73.1,81.03,75,100,6.33,overcast clouds,2022-02-12 21:11:14
701,Yinchuan,CN,38.4681,106.2731,28.38,71,87,2.75,overcast clouds,2022-02-12 21:11:14
702,Burnie,AU,-41.0667,145.9167,61.66,77,100,10.69,overcast clouds,2022-02-12 21:11:15
703,Qostanay,KZ,53.1667,63.5833,16.09,86,100,4.47,light snow,2022-02-12 21:11:15
704,Pennsville,US,39.6535,-75.5166,58.26,41,100,5.01,overcast clouds,2022-02-12 21:11:16
705,Praia,CV,14.9215,-23.5087,73.94,64,94,21.85,overcast clouds,2022-02-12 21:11:16
706,Talmenka,RU,53.8183,83.5677,4.44,100,46,4.52,scattered clouds,2022-02-12 21:11:16
707,Kimbe,PG,-5.5502,150.1429,75.99,90,93,2.01,overcast clouds,2022-02-12 21:11:16
708,Kloulklubed,PW,7.0419,134.2556,81.1,75,65,21.03,broken clouds,2022-02-12 21:11:17
